AQI,÷ ¡øµ»º∂,PM10,O3,SO2,PM2.5,NO2,CO,date
,,5.0,,,32,,,2015/1/28
,,25.0,,,64,,,2015/1/29
,,58.0,,,83,,,2015/1/30
,,89.0,,,132,,,2015/1/31
161.0,÷–∂»Œ€»æ,4.0,28.0,16.0,122,54.0,1.4,2015/2/1
138.0,«·∂»Œ€»æ,39.0,18.0,18.0,105,54.0,1.4,2015/2/2
153.0,÷–∂»Œ€»æ,61.0,47.0,16.0,117,47.0,1.3,2015/2/3
223.0,÷ÿ∂»Œ€»æ,179.0,71.0,29.0,173,77.0,1.8,2015/2/4
219.0,÷ÿ∂»Œ€»æ,200.0,81.0,49.0,169,78.0,1.9,2015/2/5
160.0,÷–∂»Œ€»æ,161.0,97.0,36.0,122,85.0,1.5,2015/2/6
184.0,÷–∂»Œ€»æ,195.0,40.0,41.0,139,108.0,1.7,2015/2/7
213.0,÷ÿ∂»Œ€»æ,185.0,70.0,53.0,163,65.0,1.8,2015/2/8
72.0,¡º,85.0,71.0,29.0,52,60.0,1.0,2015/2/9
107.0,«·∂»Œ€»æ,115.0,62.0,42.0,81,76.0,1.2,2015/2/10
187.0,÷–∂»Œ€»æ,161.0,85.0,40.0,141,66.0,1.4,2015/2/11
202.0,÷ÿ∂»Œ€»æ,188.0,99.0,39.0,152,90.0,1.8,2015/2/12
184.0,÷–∂»Œ€»æ,189.0,104.0,44.0,139,105.0,2.0,2015/2/13
164.0,÷–∂»Œ€»æ,137.0,55.0,38.0,125,68.0,1.6,2015/2/14
131.0,«·∂»Œ€»æ,104.0,45.0,25.0,99,52.0,1.6,2015/2/15
139.0,«·∂»Œ€»æ,162.0,56.0,24.0,106,64.0,1.9,2015/2/16
191.0,÷–∂»Œ€»æ,210.0,127.0,31.0,144,63.0,1.8,2015/2/17
157.0,÷–∂»Œ€»æ,160.0,90.0,27.0,120,37.0,1.6,2015/2/18
140.0,«·∂»Œ€»æ,123.0,70.0,25.0,107,30.0,1.2,2015/2/19
60.0,¡º,42.0,53.0,11.0,43,18.0,1.0,2015/2/20
108.0,«·∂»Œ€»æ,76.0,70.0,15.0,81,26.0,1.1,2015/2/21
161.0,÷–∂»Œ€»æ,109.0,42.0,16.0,123,34.0,1.4,2015/2/22
149.0,«·∂»Œ€»æ,115.0,41.0,16.0,114,33.0,1.5,2015/2/23
121.0,«·∂»Œ€»æ,94.0,40.0,16.0,92,38.0,1.5,2015/2/24
98.0,¡º,74.0,27.0,14.0,74,39.0,1.4,2015/2/25
66.0,¡º,47.0,23.0,15.0,48,42.0,1.2,2015/2/26
60.0,¡º,40.0,48.0,13.0,43,27.0,1.1,2015/2/27
31.0,”≈,18.0,62.0,10.0,22,19.0,0.7,2015/2/28
83.0,¡º,68.0,68.0,19.0,61,48.0,0.9,2015/3/1
101.0,«·∂»Œ€»æ,86.0,69.0,25.0,76,55.0,1.1,2015/3/2
111.0,«·∂»Œ€»æ,173.0,87.0,21.0,63,29.0,0.8,2015/3/3
66.0,¡º,82.0,78.0,23.0,47,36.0,0.9,2015/3/4
65.0,¡º,57.0,67.0,18.0,47,26.0,0.7,2015/3/5
134.0,«·∂»Œ€»æ,109.0,68.0,23.0,102,39.0,0.9,2015/3/6
109.0,«·∂»Œ€»æ,96.0,89.0,28.0,82,46.0,1.1,2015/3/7
88.0,¡º,81.0,58.0,28.0,66,50.0,1.0,2015/3/8
134.0,«·∂»Œ€»æ,115.0,96.0,26.0,103,49.0,1.1,2015/3/9
204.0,÷ÿ∂»Œ€»æ,136.0,73.0,23.0,154,46.0,1.2,2015/3/10
108.0,«·∂»Œ€»æ,113.0,55.0,27.0,82,58.0,1.1,2015/3/11
91.0,¡º,114.0,97.0,26.0,68,55.0,0.9,2015/3/12
108.0,«·∂»Œ€»æ,143.0,82.0,41.0,81,80.0,1.3,2015/3/13
113.0,«·∂»Œ€»æ,134.0,40.0,32.0,85,70.0,1.3,2015/3/14
142.0,«·∂»Œ€»æ,127.0,24.0,29.0,109,58.0,1.5,2015/3/15
109.0,«·∂»Œ€»æ,95.0,52.0,26.0,82,45.0,1.4,2015/3/16
57.0,¡º,52.0,27.0,26.0,41,40.0,1.5,2015/3/17
33.0,”≈,22.0,33.0,12.0,23,28.0,1.3,2015/3/18
58.0,¡º,50.0,41.0,15.0,42,33.0,1.3,2015/3/19
64.0,¡º,47.0,66.0,13.0,46,40.0,1.2,2015/3/20
96.0,¡º,106.0,98.0,20.0,72,65.0,1.2,2015/3/21
96.0,¡º,137.0,116.0,30.0,72,72.0,1.4,2015/3/22
98.0,¡º,147.0,122.0,26.0,58,48.0,1.0,2015/3/23
96.0,¡º,142.0,96.0,29.0,56,58.0,1.1,2015/3/24
80.0,¡º,109.0,128.0,36.0,51,59.0,1.0,2015/3/25
68.0,¡º,79.0,89.0,27.0,49,52.0,1.0,2015/3/26
88.0,¡º,67.0,100.0,20.0,66,32.0,1.0,2015/3/27
84.0,¡º,98.0,80.0,21.0,62,68.0,1.1,2015/3/28
104.0,«·∂»Œ€»æ,122.0,53.0,23.0,78,65.0,1.5,2015/3/29
64.0,¡º,54.0,51.0,20.0,46,37.0,1.2,2015/3/30
65.0,¡º,81.0,83.0,22.0,47,41.0,1.2,2015/3/31
81.0,¡º,105.0,57.0,28.0,60,51.0,1.6,2015/4/1
36.0,”≈,36.0,37.0,19.0,22,37.0,1.2,2015/4/2
76.0,¡º,102.0,45.0,29.0,43,49.0,1.4,2015/4/3
60.0,¡º,40.0,54.0,14.0,43,29.0,1.3,2015/4/4
72.0,¡º,47.0,78.0,8.0,52,24.0,1.1,2015/4/5
100.0,¡º,57.0,88.0,10.0,75,26.0,1.1,2015/4/6
68.0,¡º,67.0,74.0,9.0,49,22.0,0.8,2015/4/7
53.0,¡º,49.0,86.0,15.0,38,37.0,0.9,2015/4/8
70.0,¡º,77.0,91.0,23.0,51,53.0,1.0,2015/4/9
93.0,¡º,111.0,106.0,20.0,69,64.0,1.1,2015/4/10
118.0,«·∂»Œ€»æ,163.0,137.0,30.0,90,87.0,1.7,2015/4/11
86.0,¡º,122.0,118.0,17.0,46,42.0,0.7,2015/4/12
77.0,¡º,104.0,123.0,16.0,28,42.0,0.5,2015/4/13
84.0,¡º,114.0,141.0,22.0,45,49.0,0.6,2015/4/14
97.0,¡º,145.0,68.0,32.0,73,79.0,1.2,2015/4/15
100.0,¡º,138.0,90.0,25.0,75,54.0,1.2,2015/4/16
115.0,«·∂»Œ€»æ,181.0,71.0,29.0,76,56.0,1.1,2015/4/17
108.0,«·∂»Œ€»æ,148.0,58.0,28.0,82,64.0,1.3,2015/4/18
39.0,”≈,24.0,77.0,9.0,22,23.0,0.9,2015/4/19
44.0,”≈,43.0,87.0,12.0,27,27.0,0.7,2015/4/20
70.0,¡º,91.0,113.0,16.0,49,62.0,0.9,2015/4/21
86.0,¡º,122.0,129.0,20.0,56,79.0,0.9,2015/4/22
116.0,«·∂»Œ€»æ,182.0,135.0,25.0,76,88.0,1.2,2015/4/23
105.0,«·∂»Œ€»æ,151.0,88.0,22.0,79,77.0,1.1,2015/4/24
133.0,«·∂»Œ€»æ,197.0,180.0,24.0,102,83.0,1.5,2015/4/25
119.0,«·∂»Œ€»æ,187.0,171.0,24.0,83,81.0,1.3,2015/4/26
90.0,¡º,131.0,138.0,20.0,64,49.0,0.9,2015/4/27
70.0,¡º,89.0,106.0,16.0,51,35.0,0.8,2015/4/28
99.0,¡º,135.0,154.0,16.0,74,31.0,1.0,2015/4/29
133.0,«·∂»Œ€»æ,142.0,196.0,23.0,58,56.0,1.0,2015/4/30
81.0,¡º,98.0,131.0,18.0,60,47.0,1.1,2015/5/1
45.0,”≈,37.0,90.0,11.0,24,23.0,0.8,2015/5/2
92.0,¡º,73.0,150.0,12.0,47,35.0,0.9,2015/5/3
70.0,¡º,89.0,102.0,15.0,51,46.0,0.9,2015/5/4
97.0,¡º,122.0,144.0,16.0,73,59.0,1.1,2015/5/5
117.0,«·∂»Œ€»æ,143.0,162.0,15.0,88,59.0,1.1,2015/5/6
104.0,«·∂»Œ€»æ,131.0,142.0,17.0,78,48.0,1.1,2015/5/7
65.0,¡º,70.0,91.0,9.0,47,35.0,1.0,2015/5/8
112.0,«·∂»Œ€»æ,91.0,173.0,14.0,51,55.0,1.2,2015/5/9
99.0,¡º,124.0,159.0,20.0,73,50.0,1.2,2015/5/10
73.0,¡º,95.0,96.0,14.0,34,25.0,0.6,2015/5/11
95.0,¡º,141.0,130.0,13.0,38,31.0,0.5,2015/5/12
83.0,¡º,116.0,103.0,19.0,43,44.0,0.7,2015/5/13
59.0,¡º,68.0,67.0,14.0,29,38.0,0.7,2015/5/14
64.0,¡º,74.0,95.0,11.0,46,34.0,1.0,2015/5/15
99.0,¡º,110.0,159.0,14.0,61,31.0,1.0,2015/5/16
73.0,¡º,91.0,119.0,20.0,53,37.0,0.9,2015/5/17
103.0,«·∂»Œ€»æ,118.0,99.0,12.0,78,52.0,1.1,2015/5/18
150.0,«·∂»Œ€»æ,160.0,215.0,12.0,104,60.0,1.2,2015/5/19
106.0,«·∂»Œ€»æ,149.0,165.0,14.0,80,57.0,1.1,2015/5/20
149.0,«·∂»Œ€»æ,100.0,214.0,22.0,36,44.0,0.9,2015/5/21
122.0,«·∂»Œ€»æ,107.0,184.0,19.0,48,40.0,0.9,2015/5/22
108.0,«·∂»Œ€»æ,125.0,126.0,15.0,82,50.0,0.9,2015/5/23
167.0,÷–∂»Œ€»æ,181.0,232.0,19.0,121,66.0,1.3,2015/5/24
174.0,÷–∂»Œ€»æ,220.0,163.0,28.0,132,92.0,1.4,2015/5/25
130.0,«·∂»Œ€»æ,118.0,134.0,17.0,99,41.0,1.3,2015/5/26
114.0,«·∂»Œ€»æ,110.0,80.0,13.0,86,41.0,1.2,2015/5/27
107.0,«·∂»Œ€»æ,112.0,117.0,14.0,81,43.0,1.4,2015/5/28
56.0,¡º,47.0,77.0,11.0,40,25.0,1.0,2015/5/29
93.0,¡º,102.0,151.0,11.0,61,35.0,1.0,2015/5/30
126.0,«·∂»Œ€»æ,139.0,189.0,15.0,86,58.0,1.2,2015/5/31
104.0,«·∂»Œ€»æ,137.0,140.0,22.0,79,48.0,1.3,2015/6/1
48.0,”≈,42.0,90.0,11.0,34,25.0,1.0,2015/6/2
57.0,¡º,65.0,96.0,12.0,40,37.0,0.9,2015/6/3
57.0,¡º,63.0,89.0,14.0,39,37.0,0.7,2015/6/4
71.0,¡º,60.0,125.0,15.0,33,35.0,0.7,2015/6/5
97.0,¡º,121.0,156.0,20.0,43,56.0,0.9,2015/6/6
58.0,¡º,59.0,110.0,18.0,33,44.0,1.0,2015/6/7
45.0,”≈,45.0,83.0,13.0,28,31.0,0.7,2015/6/8
74.0,¡º,93.0,122.0,16.0,54,45.0,0.8,2015/6/9
69.0,¡º,85.0,123.0,16.0,45,52.0,0.8,2015/6/10
94.0,¡º,138.0,125.0,14.0,45,46.0,0.7,2015/6/11
114.0,«·∂»Œ€»æ,178.0,168.0,18.0,49,66.0,0.7,2015/6/12
93.0,¡º,137.0,110.0,15.0,50,67.0,0.8,2015/6/13
62.0,¡º,74.0,79.0,17.0,38,41.0,0.9,2015/6/14
44.0,”≈,44.0,65.0,12.0,26,31.0,0.7,2015/6/15
70.0,¡º,91.0,101.0,13.0,51,39.0,1.0,2015/6/16
33.0,”≈,26.0,61.0,10.0,23,30.0,1.0,2015/6/17
88.0,¡º,58.0,145.0,9.0,36,35.0,0.9,2015/6/18
116.0,«·∂»Œ€»æ,82.0,178.0,14.0,49,49.0,1.2,2015/6/19
92.0,¡º,106.0,150.0,17.0,66,59.0,1.2,2015/6/20
88.0,¡º,70.0,145.0,9.0,61,27.0,1.1,2015/6/21
82.0,¡º,63.0,138.0,11.0,43,32.0,1.0,2015/6/22
101.0,«·∂»Œ€»æ,82.0,161.0,14.0,50,31.0,1.1,2015/6/23
55.0,¡º,52.0,106.0,12.0,30,29.0,0.7,2015/6/24
50.0,”≈,50.0,82.0,6.0,24,27.0,0.7,2015/6/25
93.0,¡º,75.0,151.0,9.0,35,42.0,1.2,2015/6/26
53.0,¡º,52.0,103.0,7.0,27,30.0,0.7,2015/6/27
73.0,¡º,76.0,127.0,9.0,30,42.0,1.1,2015/6/28
67.0,¡º,83.0,119.0,9.0,42,32.0,0.9,2015/6/29
44.0,”≈,39.0,87.0,6.0,24,21.0,0.9,2015/6/30
102.0,«·∂»Œ€»æ,46.0,162.0,7.0,26,26.0,0.7,2015/7/1
142.0,«·∂»Œ€»æ,96.0,206.0,10.0,49,51.0,1.0,2015/7/2
73.0,¡º,97.0,125.0,11.0,50,40.0,1.0,2015/7/3
73.0,¡º,58.0,127.0,10.0,35,39.0,0.8,2015/7/4
81.0,¡º,64.0,137.0,9.0,37,31.0,0.7,2015/7/5
50.0,”≈,41.0,100.0,9.0,29,26.0,0.6,2015/7/6
72.0,¡º,44.0,126.0,10.0,24,27.0,0.6,2015/7/7
110.0,«·∂»Œ€»æ,86.0,171.0,10.0,45,38.0,0.8,2015/7/8
71.0,¡º,72.0,125.0,9.0,45,27.0,0.7,2015/7/9
49.0,”≈,44.0,98.0,10.0,23,20.0,0.7,2015/7/10
51.0,¡º,53.0,74.0,8.0,29,18.0,0.6,2015/7/11
76.0,¡º,77.0,131.0,8.0,34,35.0,0.7,2015/7/12
110.0,«·∂»Œ€»æ,112.0,171.0,10.0,51,45.0,0.8,2015/7/13
98.0,¡º,147.0,136.0,12.0,70,57.0,1.1,2015/7/14
68.0,¡º,86.0,88.0,9.0,47,41.0,1.0,2015/7/15
46.0,”≈,21.0,91.0,10.0,20,23.0,0.9,2015/7/16
44.0,”≈,44.0,72.0,6.0,30,25.0,0.8,2015/7/17
73.0,¡º,81.0,127.0,8.0,53,31.0,0.8,2015/7/18
82.0,¡º,100.0,138.0,10.0,57,39.0,1.0,2015/7/19
77.0,¡º,76.0,132.0,11.0,39,39.0,0.8,2015/7/20
143.0,«·∂»Œ€»æ,99.0,207.0,12.0,48,41.0,1.0,2015/7/21
107.0,«·∂»Œ€»æ,104.0,167.0,12.0,51,54.0,1.1,2015/7/22
47.0,”≈,47.0,70.0,9.0,26,35.0,0.9,2015/7/23
94.0,¡º,57.0,152.0,9.0,35,33.0,0.7,2015/7/24
129.0,«·∂»Œ€»æ,67.0,191.0,13.0,39,31.0,0.9,2015/7/25
43.0,”≈,40.0,86.0,12.0,22,33.0,0.7,2015/7/26
43.0,”≈,39.0,85.0,11.0,18,27.0,0.6,2015/7/27
48.0,”≈,47.0,96.0,13.0,19,26.0,0.5,2015/7/28
58.0,¡º,54.0,109.0,14.0,20,25.0,0.5,2015/7/29
54.0,¡º,54.0,104.0,12.0,21,22.0,0.4,2015/7/30
54.0,¡º,55.0,104.0,13.0,19,24.0,0.4,2015/7/31
57.0,¡º,59.0,108.0,13.0,19,25.0,0.5,2015/8/1
69.0,¡º,65.0,122.0,14.0,23,25.0,0.5,2015/8/2
65.0,¡º,70.0,117.0,16.0,27,24.0,0.5,2015/8/3
57.0,¡º,63.0,98.0,16.0,24,27.0,0.5,2015/8/4
62.0,¡º,73.0,107.0,15.0,25,33.0,0.5,2015/8/5
84.0,¡º,60.0,140.0,11.0,27,29.0,0.6,2015/8/6
75.0,¡º,57.0,130.0,11.0,27,28.0,0.7,2015/8/7
70.0,¡º,66.0,123.0,11.0,37,19.0,0.6,2015/8/8
47.0,”≈,47.0,90.0,10.0,21,15.0,0.5,2015/8/9
23.0,”≈,14.0,46.0,9.0,11,13.0,0.4,2015/8/10
39.0,”≈,33.0,78.0,10.0,17,18.0,0.5,2015/8/11
74.0,¡º,61.0,128.0,15.0,26,36.0,0.7,2015/8/12
102.0,«·∂»Œ€»æ,75.0,162.0,16.0,33,38.0,0.7,2015/8/13
134.0,«·∂»Œ€»æ,114.0,197.0,20.0,56,47.0,0.9,2015/8/14
69.0,¡º,87.0,91.0,13.0,45,42.0,0.9,2015/8/15
113.0,«·∂»Œ€»æ,83.0,174.0,11.0,46,41.0,0.8,2015/8/16
130.0,«·∂»Œ€»æ,117.0,192.0,17.0,59,57.0,1.1,2015/8/17
101.0,«·∂»Œ€»æ,109.0,161.0,16.0,62,35.0,1.0,2015/8/18
51.0,¡º,52.0,84.0,11.0,28,26.0,0.8,2015/8/19
67.0,¡º,47.0,120.0,10.0,25,23.0,0.5,2015/8/20
92.0,¡º,72.0,150.0,13.0,35,49.0,0.8,2015/8/21
110.0,«·∂»Œ€»æ,91.0,171.0,15.0,39,53.0,0.9,2015/8/22
104.0,«·∂»Œ€»æ,106.0,164.0,18.0,51,40.0,0.9,2015/8/23
101.0,«·∂»Œ€»æ,100.0,161.0,13.0,55,23.0,0.9,2015/8/24
98.0,¡º,104.0,157.0,13.0,60,34.0,0.9,2015/8/25
138.0,«·∂»Œ€»æ,120.0,201.0,15.0,62,54.0,0.9,2015/8/26
158.0,÷–∂»Œ€»æ,163.0,223.0,18.0,77,69.0,1.2,2015/8/27
112.0,«·∂»Œ€»æ,119.0,173.0,17.0,63,50.0,1.1,2015/8/28
146.0,«·∂»Œ€»æ,131.0,210.0,16.0,68,56.0,1.1,2015/8/29
132.0,«·∂»Œ€»æ,140.0,195.0,20.0,66,65.0,1.2,2015/8/30
124.0,«·∂»Œ€»æ,135.0,186.0,18.0,65,60.0,1.2,2015/8/31
100.0,¡º,98.0,160.0,13.0,54,35.0,0.8,2015/9/1
108.0,«·∂»Œ€»æ,72.0,168.0,14.0,38,24.0,0.7,2015/9/2
129.0,«·∂»Œ€»æ,96.0,191.0,20.0,47,38.0,1.0,2015/9/3
68.0,¡º,86.0,99.0,16.0,42,33.0,0.8,2015/9/4
64.0,¡º,59.0,116.0,13.0,30,33.0,0.9,2015/9/5
81.0,¡º,75.0,137.0,14.0,39,35.0,1.0,2015/9/6
96.0,¡º,97.0,155.0,15.0,61,22.0,1.0,2015/9/7
125.0,«·∂»Œ€»æ,84.0,187.0,19.0,40,41.0,1.0,2015/9/8
135.0,«·∂»Œ€»æ,87.0,198.0,21.0,41,41.0,0.9,2015/9/9
146.0,«·∂»Œ€»æ,93.0,210.0,21.0,47,50.0,1.0,2015/9/10
68.0,¡º,85.0,97.0,17.0,45,38.0,0.9,2015/9/11
69.0,¡º,71.0,122.0,13.0,50,23.0,0.9,2015/9/12
78.0,¡º,72.0,133.0,23.0,30,40.0,0.9,2015/9/13
122.0,«·∂»Œ€»æ,112.0,184.0,28.0,44,50.0,0.8,2015/9/14
109.0,«·∂»Œ€»æ,113.0,169.0,27.0,62,51.0,1.0,2015/9/15
110.0,«·∂»Œ€»æ,105.0,171.0,23.0,52,54.0,1.0,2015/9/16
80.0,¡º,110.0,134.0,33.0,48,50.0,0.9,2015/9/17
62.0,¡º,58.0,71.0,13.0,42,49.0,0.9,2015/9/18
58.0,¡º,65.0,109.0,17.0,40,40.0,0.9,2015/9/19
99.0,¡º,117.0,158.0,18.0,64,66.0,1.0,2015/9/20
123.0,«·∂»Œ€»æ,112.0,185.0,23.0,63,55.0,1.0,2015/9/21
82.0,¡º,105.0,117.0,23.0,60,48.0,1.0,2015/9/22
89.0,¡º,95.0,146.0,16.0,60,44.0,1.1,2015/9/23
73.0,¡º,84.0,85.0,14.0,53,41.0,1.1,2015/9/24
56.0,¡º,62.0,98.0,12.0,39,34.0,0.8,2015/9/25
83.0,¡º,104.0,139.0,18.0,60,54.0,1.0,2015/9/26
120.0,«·∂»Œ€»æ,108.0,181.0,21.0,59,66.0,1.0,2015/9/27
118.0,«·∂»Œ€»æ,107.0,179.0,27.0,62,40.0,1.1,2015/9/28
60.0,¡º,69.0,108.0,17.0,32,26.0,0.8,2015/9/29
46.0,”≈,27.0,91.0,14.0,19,21.0,0.6,2015/9/30
66.0,¡º,82.0,103.0,13.0,31,32.0,0.6,2015/10/1
106.0,«·∂»Œ€»æ,161.0,154.0,22.0,56,60.0,0.8,2015/10/2
110.0,«·∂»Œ€»æ,170.0,167.0,25.0,76,66.0,1.0,2015/10/3
94.0,¡º,137.0,147.0,23.0,63,51.0,1.2,2015/10/4
105.0,«·∂»Œ€»æ,109.0,100.0,17.0,79,51.0,1.4,2015/10/5
72.0,¡º,72.0,36.0,15.0,52,40.0,1.3,2015/10/6
40.0,”≈,37.0,80.0,13.0,25,28.0,1.0,2015/10/7
49.0,”≈,34.0,97.0,13.0,23,19.0,0.8,2015/10/8
62.0,¡º,73.0,82.0,18.0,37,43.0,0.8,2015/10/9
85.0,¡º,120.0,101.0,21.0,56,65.0,0.9,2015/10/10
100.0,¡º,147.0,123.0,20.0,75,75.0,1.1,2015/10/11
106.0,«·∂»Œ€»æ,154.0,144.0,29.0,75,91.0,1.3,2015/10/12
111.0,«·∂»Œ€»æ,171.0,105.0,37.0,82,92.0,1.2,2015/10/13
113.0,«·∂»Œ€»æ,174.0,168.0,32.0,85,87.0,1.1,2015/10/14
139.0,«·∂»Œ€»æ,215.0,128.0,37.0,106,117.0,1.7,2015/10/15
139.0,«·∂»Œ€»æ,198.0,168.0,30.0,106,102.0,1.5,2015/10/16
129.0,«·∂»Œ€»æ,186.0,190.0,34.0,98,97.0,1.5,2015/10/17
144.0,«·∂»Œ€»æ,205.0,188.0,32.0,110,104.0,1.6,2015/10/18
103.0,«·∂»Œ€»æ,142.0,151.0,28.0,65,85.0,1.2,2015/10/19
105.0,«·∂»Œ€»æ,154.0,147.0,26.0,76,89.0,1.3,2015/10/20
108.0,«·∂»Œ€»æ,158.0,165.0,29.0,81,91.0,1.3,2015/10/21
99.0,¡º,129.0,153.0,21.0,74,60.0,1.1,2015/10/22
145.0,«·∂»Œ€»æ,180.0,139.0,20.0,111,70.0,1.4,2015/10/23
150.0,«·∂»Œ€»æ,175.0,141.0,24.0,115,69.0,1.6,2015/10/24
137.0,«·∂»Œ€»æ,170.0,163.0,22.0,104,66.0,1.3,2015/10/25
114.0,«·∂»Œ€»æ,122.0,57.0,17.0,86,41.0,1.2,2015/10/26
60.0,¡º,70.0,80.0,16.0,27,44.0,0.6,2015/10/27
69.0,¡º,82.0,49.0,22.0,43,55.0,0.8,2015/10/28
45.0,”≈,34.0,53.0,12.0,25,36.0,0.7,2015/10/29
153.0,÷–∂»Œ€»æ,124.0,46.0,17.0,117,42.0,1.1,2015/10/30
68.0,¡º,73.0,57.0,17.0,49,37.0,0.8,2015/10/31
84.0,¡º,81.0,84.0,18.0,62,48.0,0.8,2015/11/1
87.0,¡º,97.0,99.0,22.0,62,69.0,1.0,2015/11/2
97.0,¡º,115.0,97.0,30.0,72,65.0,1.1,2015/11/3
114.0,«·∂»Œ€»æ,117.0,33.0,25.0,86,67.0,1.3,2015/11/4
87.0,¡º,90.0,35.0,22.0,64,53.0,1.3,2015/11/5
68.0,¡º,85.0,32.0,22.0,49,44.0,1.2,2015/11/6
35.0,”≈,31.0,20.0,12.0,24,24.0,0.9,2015/11/7
64.0,¡º,54.0,47.0,15.0,46,30.0,1.0,2015/11/8
95.0,¡º,99.0,66.0,24.0,71,46.0,1.5,2015/11/9
100.0,¡º,90.0,52.0,16.0,75,42.0,1.3,2015/11/10
127.0,«·∂»Œ€»æ,119.0,44.0,14.0,96,48.0,1.3,2015/11/11
74.0,¡º,63.0,20.0,10.0,54,42.0,0.9,2015/11/12
65.0,¡º,66.0,26.0,9.0,47,44.0,1.2,2015/11/13
75.0,¡º,75.0,49.0,15.0,55,52.0,1.2,2015/11/14
67.0,¡º,77.0,20.0,21.0,48,46.0,1.5,2015/11/15
68.0,¡º,58.0,33.0,9.0,49,35.0,1.2,2015/11/16
67.0,¡º,50.0,31.0,11.0,48,34.0,1.5,2015/11/17
50.0,”≈,45.0,35.0,10.0,35,33.0,1.7,2015/11/18
60.0,¡º,53.0,13.0,12.0,43,35.0,1.6,2015/11/19
70.0,¡º,86.0,16.0,14.0,51,46.0,1.7,2015/11/20
77.0,¡º,93.0,13.0,18.0,56,44.0,1.7,2015/11/21
63.0,¡º,65.0,9.0,15.0,45,38.0,1.6,2015/11/22
33.0,”≈,28.0,13.0,11.0,21,26.0,1.1,2015/11/23
30.0,”≈,16.0,32.0,12.0,17,24.0,0.9,2015/11/24
84.0,¡º,81.0,46.0,17.0,62,39.0,0.8,2015/11/25
63.0,¡º,64.0,67.0,21.0,45,47.0,0.8,2015/11/26
75.0,¡º,100.0,33.0,29.0,54,60.0,1.0,2015/11/27
115.0,«·∂»Œ€»æ,141.0,14.0,30.0,87,71.0,1.4,2015/11/28
123.0,«·∂»Œ€»æ,112.0,19.0,19.0,93,58.0,1.2,2015/11/29
129.0,«·∂»Œ€»æ,139.0,8.0,22.0,98,59.0,1.6,2015/11/30
80.0,¡º,94.0,18.0,19.0,59,52.0,1.2,2015/12/1
115.0,«·∂»Œ€»æ,179.0,46.0,18.0,55,55.0,1.0,2015/12/2
104.0,«·∂»Œ€»æ,158.0,54.0,20.0,49,55.0,0.9,2015/12/3
64.0,¡º,77.0,41.0,26.0,29,46.0,0.7,2015/12/4
77.0,¡º,103.0,13.0,21.0,52,57.0,0.9,2015/12/5
89.0,¡º,96.0,22.0,18.0,66,57.0,1.1,2015/12/6
85.0,¡º,105.0,34.0,25.0,63,61.0,1.3,2015/12/7
95.0,¡º,105.0,26.0,21.0,71,58.0,1.3,2015/12/8
